__src_id,__dst_id,type
"location/den-haag/bc682c5bda13687794d89da026fde03b","location/zuid-holland/f8fcab7700143f74127aba52d3f1fa68","locatedIn"
"organization/cambridge-computers","location/waltham/02f71c8f3589b9dad8b3b1ad1bc9b93a","locatedIn"
"organization/altoros-systems","location/sunnyvale/7a65a1f399dedb83a98171b9e0062ba1","locatedIn"
"organization/gridgain-systems","location/foster-city/ab4b0e4c35a44fa78c1f24119c0c3b71","locatedIn"
"location/heidelberg/548bd517fc1a669c7c65a5ebf2a12cc4","location/baden-wurttemberg/635e079b43d8c89d403a7fbc14055f8b","locatedIn"
"location/den-haag/bc682c5bda13687794d89da026fde03b","location/zuid-holland/f8fcab7700143f74127aba52d3f1fa68","locatedIn"
"location/heidelberg/548bd517fc1a669c7c65a5ebf2a12cc4","location/baden-wurttemberg/635e079b43d8c89d403a7fbc14055f8b","locatedIn"
"organization/deep-information-sciences-inc","location/waltham/02f71c8f3589b9dad8b3b1ad1bc9b93a","locatedIn"
"organization/atigeo","location/bellevue/16de61784c1e71790417afcd95455952","locatedIn"
"organization/via-science","location/cambridge/46d953abbf0c0fd1c375f151b78542a0","locatedIn"
"organization/0xdata","location/mountain-view/37bfe551197e02269a805d7bec8a50dd","locatedIn"
"organization/ginger-io","location/cambridge/46d953abbf0c0fd1c375f151b78542a0","locatedIn"
"organization/flydata","location/mountain-view/37bfe551197e02269a805d7bec8a50dd","locatedIn"
"organization/wandisco","location/san-ramon/c09b96f423df7d1f9dffb261d0f951a9","locatedIn"
"organization/transera-communications","location/sunnyvale/7a65a1f399dedb83a98171b9e0062ba1","locatedIn"
"location/den-haag/bc682c5bda13687794d89da026fde03b","location/zuid-holland/f8fcab7700143f74127aba52d3f1fa68","locatedIn"
"location/the-netherlands/4ae9a82d35d9be0cea9d366afba8f8f0","location/europe/6106f5dc823e5da840d751612c0b2c4e","locatedIn"
"location/british-columbia/7eaa00725485a02b26f4cc2df1ea8f34","location/canada/1b3d6217ec761b13c47aaca49b466a2c","locatedIn"
"organization/packetloop","organization/arbor-networks","acquiredBy"
"category/Market Research","keyword/Market Research","isRelatedToKeyword"
"category/Hedge Funds","keyword/hedge","isRelatedToKeyword"
"organization/zirngast","organization/cept-systems","investedIn"
"person/adam-riggs","organization/lucky-sort","investedIn"
"organization/claremont-creek-ventures","organization/numedii","investedIn"
"organization/pacven-walden-ventures","organization/paraccel","investedIn"
"organization/intertrust-technologies","organization/marinexplore","investedIn"
"organization/garnett-ventures","organization/curriculet","investedIn"
"organization/hitfox-group","organization/memorado","investedIn"
"organization/i2a-fund","organization/base-crm","investedIn"
"organization/i2a-fund","organization/base-crm","investedIn"
"organization/i2a-fund","organization/base-crm","investedIn"
"http://www.coldlight.com","keyword/advanced",
"http://www.exacaster.com","keyword/Saas",
"http://www.exacaster.com","keyword/Saas",
"http://www.exacaster.com","keyword/Saas",
"http://deep.is/information-science","keyword/real-time",
"http://deep.is/information-science","keyword/real-time",
"http://www.kitenga.com","keyword/kitenga analytics suite",
"http://www.facebook.com/pages/SQLstream/45709229374","keyword/real-time",
"http://www.facebook.com/pages/SQLstream/45709229374","keyword/real-time big data",
"http://www.facebook.com/pages/SQLstream/45709229374","keyword/real-time",
"http://www.facebook.com/945signals","keyword/engine",
"http://0xdata.com/blog/","keyword/Algorithms",
"http://0xdata.com/blog/","keyword/excel",
"http://0xdata.com/blog/","keyword/advanced",
"http://www.facebook.com/pages/flexmls/110635571991","keyword/system",
"http://www.facebook.com/altocloud","keyword/contact",
"http://www.thbs.com","keyword/apps",
"http://recopick.com/","keyword/service",
"http://recopick.com/","keyword/service",
"http://getbulb.com","keyword/analysts",
"http://www.facebook.com/TakeBridj","keyword/real-time",
"http://www.facebook.com/TakeBridj","keyword/system",
"http://www.facebook.com/TakeBridj","keyword/real-time",
"http://www.predilytics.com","keyword/advanced",
"http://www.thbs.com","keyword/apps",
"http://www.thbs.com","keyword/open source software",
"http://www.youtube.com/watch?v=knicXkXd9hQ","keyword/gpu",
